"Timestamp","Meal Type","Gender","Which days do you go to the Cafeteria the most? ","Preferred sessions ","Favorite meal"
"2020/10/01 2:02:11 PM GMT+1","Breakfast, Lunch, Dinner.","Female","Sunday;Saturday","Morning","Akara with pap, oat, custard"
"2020/10/01 2:02:24 PM GMT+1","Lunch, Dinner","Female","Tuesday;Thursday;Friday;Saturday","Evening","Plain rice with stew, gbadun;Jellof spaghetti with boiled egg"
"2020/10/01 2:02:31 PM GMT+1","Breakfast, Lunch, Dinner.","Female","Monday;Thursday;Friday;Saturday","Evening","Jellof rice"
"2020/10/01 2:03:21 PM GMT+1","Lunch, Dinner","Male","Saturday","Afternoon","Jellof rice"
"2020/10/01 2:03:44 PM GMT+1","Breakfast, Lunch, Dinner.","Male","Monday;Saturday","Afternoon","Fried potatoes with egg sauce, stew;Jellof rice;Semovita, poundo, eba with okra, egusi;Plain spaghetti and stew with boiled egg;Akara with pap, oat, custard;Moi moi with pap, oat, custard"
"2020/10/01 2:03:47 PM GMT+1","Lunch, Dinner","Female","Sunday;Monday;Saturday","Afternoon","Fried potatoes with egg sauce, stew;Jellof rice;Plain rice with stew, gbadun;Semovita, poundo, eba with okra, egusi"
"2020/10/01 2:03:49 PM GMT+1","Lunch, Dinner","Female","Wednesday;Saturday","Afternoon","Fried potatoes with egg sauce, stew;Fried rice;Semovita, poundo, eba with okra, egusi;Jellof spaghetti with boiled egg"
"2020/10/01 2:04:32 PM GMT+1","Lunch, Dinner","Female","Sunday;Monday;Thursday;Friday;Saturday","Evening","Fried yam with egg sauce, stew;Akara with pap, oat, custard"
"2020/10/01 2:04:47 PM GMT+1","Breakfast, Lunch, Dinner.","Female","Friday","Evening","Jellof spaghetti with boiled egg"
"2020/10/01 2:06:03 PM GMT+1","Lunch, Dinner","Female","Sunday;Monday;Tuesday;Thursday;Friday;Saturday","Evening","Fried potatoes with egg sauce, stew;Fried rice;Jellof rice;Plain rice with stew, gbadun;Plain spaghetti and stew with boiled egg"
"2020/10/01 2:06:28 PM GMT+1","Lunch, Dinner","Male","Sunday;Monday;Thursday;Saturday","Evening","Fried rice;Jellof rice;Plain rice with stew, gbadun;Porridge beans, plain beans and stew with plantain"
"2020/10/01 2:06:39 PM GMT+1","Lunch, Dinner","Male","Sunday;Monday;Thursday;Saturday","Evening","Fried rice;Jellof rice;Plain rice with stew, gbadun;Porridge beans, plain beans and stew with plantain"
"2020/10/01 2:07:35 PM GMT+1","Lunch, Dinner","Male","Monday;Saturday","Afternoon","Fried yam with egg sauce, stew;Fried rice;Jellof rice;Plain rice with stew, gbadun;Semovita, poundo, eba with okra, egusi;Jellof spaghetti with boiled egg;Plain spaghetti and stew with boiled egg"
"2020/10/01 2:07:37 PM GMT+1","Lunch, Dinner","Male","Monday;Tuesday;Wednesday;Thursday;Friday;Saturday","Afternoon","Fried rice;Jellof rice;Plain rice with stew, gbadun;Semovita, poundo, eba with okra, egusi"
"2020/10/01 2:07:45 PM GMT+1","Lunch, Dinner","Female","Saturday","Afternoon","Jellof rice"
"2020/10/01 2:07:46 PM GMT+1","Lunch, Dinner","Female","Monday;Tuesday;Thursday;Saturday","Afternoon","Jellof rice;Plain rice with stew, gbadun;Semovita, poundo, eba with okra, egusi;Akara with pap, oat, custard"
"2020/10/01 2:08:01 PM GMT+1","Breakfast, Lunch, Dinner.","Female","Monday;Tuesday;Thursday;Saturday","Evening","Plain rice with stew, gbadun;Plain spaghetti and stew with boiled egg"
"2020/10/01 2:08:16 PM GMT+1","Lunch, Dinner","Female","Thursday","Evening","Plain rice with stew, gbadun"
"2020/10/01 2:08:48 PM GMT+1","Lunch, Dinner","Female","Monday;Thursday;Friday;Saturday","Evening","Fried potatoes with egg sauce, stew;Fried rice;Plain rice with stew, gbadun;Porridge beans, plain beans and stew with plantain;Semovita, poundo, eba with okra, egusi;Plain spaghetti and stew with boiled egg"
"2020/10/01 2:09:31 PM GMT+1","Lunch, Dinner","Female","Sunday","Evening","Fried potatoes with egg sauce, stew;Plain rice with stew, gbadun;Porridge beans, plain beans and stew with plantain;Akara with pap, oat, custard"
"2020/10/01 2:09:38 PM GMT+1","Lunch, Dinner","Female","Saturday","Afternoon","Plain rice with stew, gbadun"
"2020/10/01 2:11:12 PM GMT+1","Lunch, Dinner","Male","Sunday;Thursday;Saturday","Evening","Fried rice;Porridge yam, plain yam and stew;Porridge beans, plain beans and stew with plantain"
"2020/10/01 2:12:39 PM GMT+1","Lunch, Dinner","Male","Monday;Saturday","Evening","Fried rice;Jellof rice;Porridge beans, plain beans and stew with plantain;Jellof spaghetti with boiled egg;Plain spaghetti and stew with boiled egg;Akara with pap, oat, custard"
"2020/10/01 2:13:30 PM GMT+1","Lunch, Dinner","Male","Saturday","Evening","Fried potatoes with egg sauce, stew"
"2020/10/01 2:14:44 PM GMT+1","Breakfast, Lunch, Dinner.","Male","Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday","Evening","Jellof rice"
"2020/10/01 2:16:37 PM GMT+1","Lunch, Dinner","Male","Sunday;Monday;Thursday;Friday;Saturday","Evening","Fried potatoes with egg sauce, stew;Fried rice;Porridge beans, plain beans and stew with plantain;Semovita, poundo, eba with okra, egusi"
"2020/10/01 2:18:06 PM GMT+1","Lunch, Dinner","Female","Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday","Evening","Fried potatoes with egg sauce, stew;Fried yam with egg sauce, stew;Jellof rice;Plain rice with stew, gbadun;Porridge beans, plain beans and stew with plantain;Semovita, poundo, eba with okra, egusi;Jellof spaghetti with boiled egg;Plain spaghetti and stew with boiled egg"
"2020/10/01 2:18:07 PM GMT+1","Breakfast, Lunch, Dinner.","Male","Sunday","Evening","Fried rice"
"2020/10/01 2:18:27 PM GMT+1","Lunch, Dinner","Female","Saturday","Afternoon","Fried yam with egg sauce, stew;Fried rice;Jellof rice;Plain rice with stew, gbadun;Semovita, poundo, eba with okra, egusi;Jellof spaghetti with boiled egg;Plain spaghetti and stew with boiled egg"
"2020/10/01 2:18:58 PM GMT+1","Breakfast, Lunch, Dinner.","Female","Sunday;Monday;Wednesday;Friday;Saturday","Morning","Fried potatoes with egg sauce, stew;Fried rice;Jellof rice;Plain rice with stew, gbadun;Porridge beans, plain beans and stew with plantain;Jellof spaghetti with boiled egg;Akara with pap, oat, custard"
"2020/10/01 2:19:06 PM GMT+1","Breakfast, Lunch, Dinner.","Female","Sunday","Evening","Plain rice with stew, gbadun;Akara with pap, oat, custard"
"2020/10/01 2:19:39 PM GMT+1","Breakfast, Lunch, Dinner.","Male","Saturday","Afternoon","Semovita, poundo, eba with okra, egusi"
"2020/10/01 2:20:27 PM GMT+1","Lunch, Dinner","Male","Saturday","Afternoon","Fried rice"
"2020/10/01 2:20:51 PM GMT+1","Lunch, Dinner","Female","Saturday","Afternoon","Semovita, poundo, eba with okra, egusi"
