"Timestamp","Meal Type","Gender","Which days do you go to the Cafeteria the most? ","Preferred sessions ","Favorite meal"
"2020/10/01 3:40:30 PM GMT+1","Lunch, Dinner","Male","Tuesday","Evening","Plain rice with stew, gbadun;Akara with pap, oat, custard"
"2020/10/01 3:41:36 PM GMT+1","Breakfast, Lunch, Dinner.","Female","Saturday","Evening","Fried yam with egg sauce, stew;Jellof rice;Plain spaghetti and stew with boiled egg;Moi moi with pap, oat, custard"
"2020/10/01 3:41:57 PM GMT+1","Lunch, Dinner","Male","Monday;Tuesday;Thursday;Saturday","Afternoon","Fried potatoes with egg sauce, stew;Fried rice;Jellof rice;Semovita, poundo, eba with okra, egusi;Akara with pap, oat, custard;Moi moi with pap, oat, custard"
"2020/10/01 3:43:04 PM GMT+1","Lunch, Dinner","Female","Monday;Thursday;Saturday","Evening","Jellof rice;Plain rice with stew, gbadun;Porridge beans, plain beans and stew with plantain;Akara with pap, oat, custard;Moi moi with pap, oat, custard"
"2020/10/01 3:45:17 PM GMT+1","Breakfast, Lunch.","Female","Monday;Tuesday;Wednesday;Thursday;Friday;Saturday","Evening","Plain rice with stew, gbadun;Moi moi with pap, oat, custard"
"2020/10/01 3:46:38 PM GMT+1","Breakfast, Lunch, Dinner.","Male","Tuesday;Thursday;Saturday","Evening","Jellof rice;Plain rice with stew, gbadun;Semovita, poundo, eba with okra, egusi;Plain spaghetti and stew with boiled egg;Akara with pap, oat, custard"
"2020/10/01 3:48:02 PM GMT+1","Lunch, Dinner","Female","Wednesday;Friday;Saturday","Evening","Fried yam with egg sauce, stew;Jellof rice;Semovita, poundo, eba with okra, egusi"
"2020/10/01 3:51:04 PM GMT+1","Breakfast, Lunch, Dinner.","Male","Monday;Tuesday;Wednesday;Thursday;Friday;Saturday","Afternoon","Semovita, poundo, eba with okra, egusi"
"2020/10/01 3:52:15 PM GMT+1","Breakfast, Lunch.","Female","Monday;Thursday;Saturday","Afternoon","Plain rice with stew, gbadun;Plain spaghetti and stew with boiled egg;Akara with pap, oat, custard;Moi moi with pap, oat, custard"
"2020/10/01 3:52:55 PM GMT+1","Breakfast, Lunch, Dinner.","Female","Sunday;Monday;Thursday;Saturday","Evening","Fried rice;Jellof rice;Semovita, poundo, eba with okra, egusi;Akara with pap, oat, custard"
"2020/10/01 3:53:13 PM GMT+1","Breakfast, Lunch, Dinner.","Female","Monday;Friday;Saturday","Afternoon","Fried yam with egg sauce, stew;Fried rice;Jellof rice;Plain rice with stew, gbadun;Akara with pap, oat, custard;Moi moi with pap, oat, custard"
"2020/10/01 3:53:24 PM GMT+1","Lunch, Dinner","Female","Tuesday;Thursday;Saturday","Afternoon","Plain rice with stew, gbadun;Semovita, poundo, eba with okra, egusi;Jellof spaghetti with boiled egg;Moi moi with pap, oat, custard"
"2020/10/01 3:56:07 PM GMT+1","Lunch, Dinner","Female","Monday;Wednesday;Friday;Saturday","Evening","Fried rice;Plain rice with stew, gbadun;Porridge beans, plain beans and stew with plantain;Akara with pap, oat, custard;Moi moi with pap, oat, custard"
"2020/10/01 3:56:09 PM GMT+1","Breakfast, Lunch, Dinner.","Male","Saturday","Afternoon","Jellof rice;Plain rice with stew, gbadun;Semovita, poundo, eba with okra, egusi;Akara with pap, oat, custard"
"2020/10/01 3:56:30 PM GMT+1","Breakfast, Lunch, Dinner.","Female","Wednesday","Evening","Porridge beans, plain beans and stew with plantain"
"2020/10/01 3:57:15 PM GMT+1","Lunch, Dinner","Male","Sunday","Evening","Plain rice with stew, gbadun"
"2020/10/01 3:58:43 PM GMT+1","Lunch, Dinner","Male","Monday;Wednesday;Friday;Saturday","Afternoon","Fried potatoes with egg sauce, stew;Fried rice;Plain spaghetti and stew with boiled egg"
"2020/10/01 4:00:11 PM GMT+1","Lunch, Dinner","Male","Sunday;Friday;Saturday","Afternoon","Fried potatoes with egg sauce, stew;Plain spaghetti and stew with boiled egg;Akara with pap, oat, custard;Moi moi with pap, oat, custard"
"2020/10/01 4:03:44 PM GMT+1","Lunch, Dinner","Male","Monday;Tuesday;Wednesday;Thursday;Saturday","Evening","Fried rice"
"2020/10/01 4:05:03 PM GMT+1","Breakfast, Lunch, Dinner.","Male","Sunday","Evening","Plain rice with stew, gbadun"
"2020/10/01 4:05:07 PM GMT+1","Lunch, Dinner","Male","Monday;Tuesday;Wednesday;Thursday;Saturday","Evening","Fried rice"
"2020/10/01 4:05:51 PM GMT+1","Breakfast, Lunch.","Female","Sunday;Tuesday;Thursday","Morning","Semovita, poundo, eba with okra, egusi;Akara with pap, oat, custard;Moi moi with pap, oat, custard"
"2020/10/01 4:07:20 PM GMT+1","Lunch, Dinner","Male","Monday;Tuesday;Wednesday;Thursday;Saturday","Evening","Fried rice"
"2020/10/01 4:10:25 PM GMT+1","Lunch, Dinner","Male","Monday;Tuesday;Wednesday;Thursday;Saturday","Evening","Fried rice"
"2020/10/01 4:12:31 PM GMT+1","Lunch, Dinner","Male","Monday;Tuesday;Wednesday;Thursday;Saturday","Evening","Fried rice"
"2020/10/01 4:15:48 PM GMT+1","Breakfast, Lunch, Dinner.","Female","Monday;Thursday;Friday;Saturday","Evening","Jellof rice"
"2020/10/01 4:16:01 PM GMT+1","Lunch, Dinner","Female","Sunday;Tuesday;Wednesday;Thursday;Friday","Evening","Fried rice;Jellof rice;Plain rice with stew, gbadun;Porridge beans, plain beans and stew with plantain;Semovita, poundo, eba with okra, egusi;Jellof spaghetti with boiled egg;Moi moi with pap, oat, custard"
"2020/10/01 4:17:08 PM GMT+1","Breakfast, Lunch, Dinner.","Female","Friday","Evening","Akara with pap, oat, custard"
"2020/10/01 4:17:24 PM GMT+1","Lunch, Dinner","Male","Thursday","Afternoon","Semovita, poundo, eba with okra, egusi"
"2020/10/01 4:18:08 PM GMT+1","Lunch, Dinner","Female","Sunday;Monday;Tuesday;Wednesday;Thursday;Saturday","Evening","Fried yam with egg sauce, stew;Jellof rice;Plain rice with stew, gbadun;Jellof spaghetti with boiled egg"
"2020/10/01 4:19:15 PM GMT+1","Breakfast, Lunch, Dinner.","Male","Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday","Afternoon","Fried yam with egg sauce, stew;Fried rice;Jellof rice;Plain rice with stew, gbadun;Porridge beans, plain beans and stew with plantain;Jellof spaghetti with boiled egg;Akara with pap, oat, custard;Moi moi with pap, oat, custard"
"2020/10/01 4:24:55 PM GMT+1","Breakfast, Lunch, Dinner.","Male","Monday;Tuesday;Thursday;Friday;Saturday","Evening","Jellof rice;Plain rice with stew, gbadun;Semovita, poundo, eba with okra, egusi;Plain spaghetti and stew with boiled egg;Akara with pap, oat, custard"
"2020/10/01 4:26:00 PM GMT+1","Lunch, Dinner","Female","Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday","Evening","Jellof rice;Plain rice with stew, gbadun;Semovita, poundo, eba with okra, egusi;Jellof spaghetti with boiled egg"
"2020/10/01 4:28:28 PM GMT+1","Lunch, Dinner","Female","Monday;Tuesday;Wednesday;Thursday;Friday;Saturday","Afternoon","Fried yam with egg sauce, stew;Jellof rice;Plain rice with stew, gbadun;Porridge beans, plain beans and stew with plantain"
"2020/10/01 4:29:42 PM GMT+1","Lunch, Dinner","Female","Monday;Wednesday;Saturday","Evening","Fried yam with egg sauce, stew;Plain rice with stew, gbadun;Jellof spaghetti with boiled egg"
"2020/10/01 4:30:42 PM GMT+1","Lunch, Dinner","Female","Monday;Wednesday;Friday;Saturday","Evening","Plain rice with stew, gbadun"
"2020/10/01 4:31:14 PM GMT+1","Lunch, Dinner","Female","Monday;Saturday","Evening","Fried rice;Jellof rice;Plain rice with stew, gbadun;Moi moi with pap, oat, custard"
"2020/10/01 4:32:32 PM GMT+1","Lunch, Dinner","Female","Monday;Tuesday;Thursday;Saturday","Afternoon","Fried potatoes with egg sauce, stew;Fried rice;Jellof rice;Plain rice with stew, gbadun;Semovita, poundo, eba with okra, egusi"
"2020/10/01 4:32:54 PM GMT+1","Lunch, Dinner","Female","Tuesday;Thursday;Saturday","Evening","Fried rice;Jellof rice;Plain rice with stew, gbadun"
"2020/10/01 4:33:18 PM GMT+1","Breakfast, Lunch, Dinner.","Female","Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday","Afternoon","Fried rice"
"2020/10/01 4:46:43 PM GMT+1","Lunch, Dinner","Male","Monday;Wednesday;Thursday;Friday;Saturday","Evening","Fried potatoes with egg sauce, stew;Fried rice;Jellof rice;Plain rice with stew, gbadun;Semovita, poundo, eba with okra, egusi;Plain spaghetti and stew with boiled egg;Moi moi with pap, oat, custard"
"2020/10/01 4:50:25 PM GMT+1","Breakfast, Dinner.","Female","Sunday;Thursday","Evening","Fried yam with egg sauce, stew;Fried rice"
"2020/10/01 4:54:41 PM GMT+1","Lunch, Dinner","Female","Sunday;Monday;Tuesday;Wednesday;Thursday;Saturday","Evening","Fried yam with egg sauce, stew;Jellof rice;Plain rice with stew, gbadun;Jellof spaghetti with boiled egg"
"2020/10/01 4:58:28 PM GMT+1","Lunch, Dinner","Female","Tuesday;Wednesday;Thursday","Evening","Jellof rice;Plain rice with stew, gbadun;Jellof spaghetti with boiled egg"
"2020/10/01 4:59:18 PM GMT+1","Lunch, Dinner","Female","Tuesday;Thursday;Friday;Saturday","Evening","Fried potatoes with egg sauce, stew;Jellof rice;Plain rice with stew, gbadun;Akara with pap, oat, custard"
"2020/10/01 5:05:13 PM GMT+1","Lunch, Dinner","Male","Saturday","Evening","Fried potatoes with egg sauce, stew;Fried yam with egg sauce, stew"
"2020/10/01 5:07:37 PM GMT+1","Lunch, Dinner","Female","Monday","Afternoon","Fried potatoes with egg sauce, stew;Plain rice with stew, gbadun;Akara with pap, oat, custard"
"2020/10/01 5:16:01 PM GMT+1","Breakfast, Lunch, Dinner.","Female","Sunday;Tuesday;Saturday","Afternoon","Fried potatoes with egg sauce, stew;Plain rice with stew, gbadun"
"2020/10/01 5:16:52 PM GMT+1","Breakfast, Lunch, Dinner.","Female","Sunday;Monday;Tuesday;Wednesday;Thursday;Saturday","Afternoon","Fried rice;Jellof rice;Semovita, poundo, eba with okra, egusi;Jellof spaghetti with boiled egg;Akara with pap, oat, custard;Moi moi with pap, oat, custard"
"2020/10/01 5:27:06 PM GMT+1","Lunch, Dinner","Male","Saturday","Evening","Plain spaghetti and stew with boiled egg"
"2020/10/01 5:42:52 PM GMT+1","Lunch, Dinner","Female","Sunday;Monday;Thursday;Saturday","Evening","Plain rice with stew, gbadun"
"2020/10/01 5:51:35 PM GMT+1","Lunch, Dinner","Female","Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday","Evening","Jellof rice;Porridge beans, plain beans and stew with plantain"
"2020/10/01 5:52:16 PM GMT+1","Lunch, Dinner","Female","Thursday","Evening","Jellof rice"
"2020/10/01 6:10:11 PM GMT+1","Lunch, Dinner","Female","Tuesday;Wednesday;Thursday","Evening","Jellof rice;Plain rice with stew, gbadun;Jellof spaghetti with boiled egg"
"2020/10/01 6:39:02 PM GMT+1","Breakfast, Lunch, Dinner.","Male","Monday;Saturday","Afternoon","Fried potatoes with egg sauce, stew;Jellof rice;Semovita, poundo, eba with okra, egusi;Plain spaghetti and stew with boiled egg;Akara with pap, oat, custard;Moi moi with pap, oat, custard"
"2020/10/01 6:57:40 PM GMT+1","Lunch, Dinner","Male","Monday;Wednesday;Friday;Saturday","Evening","Jellof spaghetti with boiled egg"
"2020/10/01 7:24:21 PM GMT+1","Lunch, Dinner","Female","Monday;Tuesday;Thursday;Friday;Saturday","Evening","Fried yam with egg sauce, stew;Jellof rice;Plain rice with stew, gbadun;Porridge yam, plain yam and stew;Porridge beans, plain beans and stew with plantain;Semovita, poundo, eba with okra, egusi;Plain spaghetti and stew with boiled egg;Moi moi with pap, oat, custard"
"2020/10/01 7:33:53 PM GMT+1","Lunch, Dinner","Female","Sunday","Afternoon","Plain rice with stew, gbadun"
"2020/10/01 7:35:23 PM GMT+1","Breakfast, Lunch, Dinner.","Female","Sunday;Monday;Wednesday;Thursday;Saturday","Morning","Fried potatoes with egg sauce, stew;Fried rice;Jellof rice;Plain rice with stew, gbadun;Porridge beans, plain beans and stew with plantain;Plain spaghetti and stew with boiled egg;Akara with pap, oat, custard;Moi moi with pap, oat, custard"
"2020/10/01 7:38:49 PM GMT+1","Breakfast, Lunch.","Female","Monday;Saturday","Afternoon","Fried rice;Jellof rice"
"2020/10/01 7:47:15 PM GMT+1","Breakfast, Lunch, Dinner.","Female","Sunday;Wednesday;Friday","Afternoon","Porridge beans, plain beans and stew with plantain"
"2020/10/01 7:56:29 PM GMT+1","Breakfast, Lunch.","Female","Saturday","Afternoon","Akara with pap, oat, custard"
"2020/10/01 8:03:07 PM GMT+1","Lunch, Dinner","Female","Sunday;Monday","Afternoon","Fried yam with egg sauce, stew;Jellof rice;Plain rice with stew, gbadun;Jellof spaghetti with boiled egg;Plain spaghetti and stew with boiled egg"
"2020/10/01 8:11:51 PM GMT+1","Breakfast, Lunch.","Male","Monday;Tuesday;Wednesday;Thursday;Friday;Saturday","Afternoon","Fried yam with egg sauce, stew"
"2020/10/01 8:27:08 PM GMT+1","Lunch, Dinner","Male","Sunday;Wednesday;Friday;Saturday","Evening","Jellof rice;Plain rice with stew, gbadun;Porridge beans, plain beans and stew with plantain;Jellof spaghetti with boiled egg;Plain spaghetti and stew with boiled egg;Akara with pap, oat, custard"
"2020/10/01 8:47:00 PM GMT+1","Lunch, Dinner","Female","Thursday","Evening","Jellof rice"
"2020/10/01 8:47:03 PM GMT+1","Lunch, Dinner","Male","Wednesday","Evening","Jellof spaghetti with boiled egg"
"2020/10/01 8:47:28 PM GMT+1","Lunch, Dinner","Male","Sunday;Monday;Tuesday;Wednesday;Saturday","Evening","Fried rice;Jellof rice;Jellof spaghetti with boiled egg;Plain spaghetti and stew with boiled egg;Moi moi with pap, oat, custard"
"2020/10/01 8:47:29 PM GMT+1","Lunch, Dinner","Female","Tuesday;Saturday","Evening","Jellof rice"
"2020/10/01 8:47:38 PM GMT+1","Lunch, Dinner","Female","Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday","Afternoon","Jellof rice;Plain rice with stew, gbadun;Jellof spaghetti with boiled egg"
"2020/10/01 8:47:52 PM GMT+1","Lunch, Dinner","Male","Saturday","Evening","Plain rice with stew, gbadun"
"2020/10/01 8:48:21 PM GMT+1","Lunch, Dinner","Male","Tuesday;Wednesday;Thursday;Friday;Saturday","Evening","Fried potatoes with egg sauce, stew;Jellof rice;Plain rice with stew, gbadun;Porridge beans, plain beans and stew with plantain;Semovita, poundo, eba with okra, egusi"
"2020/10/01 8:48:35 PM GMT+1","Lunch, Dinner","Female","Saturday","Evening","Plain rice with stew, gbadun;Semovita, poundo, eba with okra, egusi;Plain spaghetti and stew with boiled egg;Akara with pap, oat, custard;Moi moi with pap, oat, custard"
"2020/10/01 8:48:42 PM GMT+1","Breakfast, Lunch, Dinner.","Female","Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday","Afternoon","Fried rice;Jellof rice;Porridge yam, plain yam and stew;Porridge beans, plain beans and stew with plantain;Semovita, poundo, eba with okra, egusi;Akara with pap, oat, custard"
"2020/10/01 8:49:43 PM GMT+1","Lunch, Dinner","Female","Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday","Evening","Jellof rice;Semovita, poundo, eba with okra, egusi;Jellof spaghetti with boiled egg;Plain spaghetti and stew with boiled egg"
"2020/10/01 8:49:44 PM GMT+1","Lunch, Dinner","Female","Saturday","Afternoon","Jellof rice;Plain rice with stew, gbadun;Porridge beans, plain beans and stew with plantain;Plain spaghetti and stew with boiled egg;Moi moi with pap, oat, custard"
"2020/10/01 8:50:08 PM GMT+1","Lunch, Dinner","Male","Saturday","Afternoon","Plain rice with stew, gbadun"
"2020/10/01 8:52:09 PM GMT+1","Lunch, Dinner","Female","Monday;Tuesday;Thursday;Saturday","Afternoon","Fried potatoes with egg sauce, stew;Jellof rice;Plain rice with stew, gbadun;Porridge beans, plain beans and stew with plantain;Jellof spaghetti with boiled egg"
"2020/10/01 8:56:12 PM GMT+1","Breakfast, Lunch, Dinner.","Female","Sunday","Morning","Jellof spaghetti with boiled egg"
"2020/10/01 8:57:04 PM GMT+1","Lunch, Dinner","Female","Wednesday","Afternoon","Plain rice with stew, gbadun"
"2020/10/01 9:03:01 PM GMT+1","Breakfast, Lunch, Dinner.","Female","Sunday","Afternoon","Plain rice with stew, gbadun;Porridge beans, plain beans and stew with plantain;Akara with pap, oat, custard"
"2020/10/01 9:14:57 PM GMT+1","Lunch, Dinner","Female","Monday;Tuesday;Wednesday;Thursday;Friday;Saturday","Evening","Moi moi with pap, oat, custard"
"2020/10/01 9:15:35 PM GMT+1","Lunch, Dinner","Female","Saturday","Afternoon","Jellof rice;Porridge beans, plain beans and stew with plantain;Akara with pap, oat, custard;Moi moi with pap, oat, custard"
"2020/10/01 9:24:10 PM GMT+1","Lunch, Dinner","Female","Sunday;Wednesday;Saturday","Afternoon","Jellof rice;Porridge beans, plain beans and stew with plantain"
"2020/10/01 9:27:03 PM GMT+1","Lunch, Dinner","Male","Saturday","Afternoon","Fried potatoes with egg sauce, stew;Jellof rice;Porridge beans, plain beans and stew with plantain;Semovita, poundo, eba with okra, egusi;Plain spaghetti and stew with boiled egg;Moi moi with pap, oat, custard"
"2020/10/01 9:27:56 PM GMT+1","Lunch, Dinner","Female","Tuesday","Afternoon","Semovita, poundo, eba with okra, egusi"
"2020/10/01 9:30:53 PM GMT+1","Lunch, Dinner","Female","Sunday;Monday;Thursday","Evening","Fried rice;Jellof rice;Jellof spaghetti with boiled egg;Plain spaghetti and stew with boiled egg"
"2020/10/01 9:32:14 PM GMT+1","Breakfast, Lunch.","Female","Sunday;Tuesday;Thursday","Afternoon","Fried yam with egg sauce, stew;Jellof rice;Semovita, poundo, eba with okra, egusi;Akara with pap, oat, custard"
"2020/10/01 9:34:51 PM GMT+1","Breakfast, Lunch, Dinner.","Female","Saturday","Morning","Akara with pap, oat, custard"
"2020/10/01 9:35:29 PM GMT+1","Lunch, Dinner","Male","Monday;Tuesday;Thursday;Saturday","Evening","Fried rice;Jellof rice;Plain rice with stew, gbadun;Moi moi with pap, oat, custard"
"2020/10/01 9:46:25 PM GMT+1","Lunch, Dinner","Female","Sunday","Evening","Porridge beans, plain beans and stew with plantain"
"2020/10/01 9:47:25 PM GMT+1","Breakfast, Lunch.","Male","Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday","Evening","Fried potatoes with egg sauce, stew;Akara with pap, oat, custard"
"2020/10/01 9:52:22 PM GMT+1","Lunch, Dinner","Male","Sunday;Monday;Tuesday;Thursday;Saturday","Evening","Fried yam with egg sauce, stew;Fried rice;Jellof rice;Plain rice with stew, gbadun;Porridge beans, plain beans and stew with plantain;Semovita, poundo, eba with okra, egusi;Plain spaghetti and stew with boiled egg;Akara with pap, oat, custard;Moi moi with pap, oat, custard"
"2020/10/01 9:56:14 PM GMT+1","Lunch, Dinner","Male","Tuesday;Wednesday;Thursday;Friday;Saturday","Evening","Fried potatoes with egg sauce, stew;Jellof rice;Plain rice with stew, gbadun;Porridge beans, plain beans and stew with plantain;Semovita, poundo, eba with okra, egusi"
"2020/10/01 10:02:54 PM GMT+1","Breakfast, Dinner.","Female","Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday","Evening","Plain spaghetti and stew with boiled egg"
"2020/10/01 10:24:32 PM GMT+1","Lunch, Dinner","Male","Sunday;Monday;Wednesday;Thursday;Saturday","Evening","Jellof rice"
"2020/10/01 10:27:36 PM GMT+1","Lunch, Dinner","Female","Saturday","Evening","Plain rice with stew, gbadun"
"2020/10/01 10:37:50 PM GMT+1","Breakfast, Lunch, Dinner.","Female","Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday","Evening","Fried potatoes with egg sauce, stew;Plain rice with stew, gbadun;Porridge beans, plain beans and stew with plantain;Akara with pap, oat, custard;Moi moi with pap, oat, custard"
"2020/10/01 10:39:55 PM GMT+1","Lunch, Dinner","Male","Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday","Evening","Fried potatoes with egg sauce, stew;Fried rice;Jellof rice;Porridge beans, plain beans and stew with plantain;Semovita, poundo, eba with okra, egusi"
"2020/10/01 10:58:11 PM GMT+1","Lunch, Dinner","Female","Tuesday;Saturday","Evening","Jellof rice"
"2020/10/01 11:25:14 PM GMT+1","Breakfast, Lunch, Dinner.","Male","Sunday","Morning","Akara with pap, oat, custard"
"2020/10/01 11:36:33 PM GMT+1","Lunch, Dinner","Male","Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday","Afternoon","Fried rice;Porridge beans, plain beans and stew with plantain;Semovita, poundo, eba with okra, egusi"
"2020/10/01 11:39:53 PM GMT+1","Lunch, Dinner","Female","Monday;Thursday;Saturday","Evening","Fried rice;Jellof rice;Plain rice with stew, gbadun;Semovita, poundo, eba with okra, egusi;Jellof spaghetti with boiled egg"
"2020/10/02 12:02:15 AM GMT+1","Breakfast, Lunch.","Female","Tuesday;Thursday","Afternoon","Fried rice;Jellof rice;Plain rice with stew, gbadun;Semovita, poundo, eba with okra, egusi;Moi moi with pap, oat, custard"
"2020/10/02 12:06:13 AM GMT+1","Lunch, Dinner","Female","Monday;Tuesday;Thursday;Friday;Saturday","Afternoon","Fried potatoes with egg sauce, stew;Jellof rice;Plain rice with stew, gbadun;Porridge beans, plain beans and stew with plantain;Semovita, poundo, eba with okra, egusi;Plain spaghetti and stew with boiled egg;Akara with pap, oat, custard;Moi moi with pap, oat, custard"
"2020/10/02 12:23:59 AM GMT+1","Lunch, Dinner","Female","Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday","Evening","Porridge beans, plain beans and stew with plantain"
"2020/10/02 12:45:37 AM GMT+1","Lunch, Dinner","Male","Sunday;Monday;Tuesday;Thursday","Evening","Jellof rice;Plain rice with stew, gbadun;Semovita, poundo, eba with okra, egusi;Jellof spaghetti with boiled egg"
"2020/10/02 1:45:02 AM GMT+1","Breakfast, Dinner.","Female","Thursday;Friday;Saturday","Evening","Fried yam with egg sauce, stew;Akara with pap, oat, custard;Moi moi with pap, oat, custard"
"2020/10/02 2:50:41 AM GMT+1","Breakfast, Lunch.","Female","Monday;Thursday;Saturday","Afternoon","Plain rice with stew, gbadun;Plain spaghetti and stew with boiled egg;Akara with pap, oat, custard;Moi moi with pap, oat, custard"
"2020/10/02 4:18:13 AM GMT+1","Breakfast, Lunch, Dinner.","Female","Monday;Thursday;Friday;Saturday","Evening","Jellof rice"
"2020/10/02 5:52:22 AM GMT+1","Breakfast, Lunch, Dinner.","Female","Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday","Afternoon","Fried yam with egg sauce, stew;Jellof rice;Plain rice with stew, gbadun;Semovita, poundo, eba with okra, egusi;Jellof spaghetti with boiled egg;Plain spaghetti and stew with boiled egg;Akara with pap, oat, custard"
"2020/10/02 6:58:07 AM GMT+1","Lunch, Dinner","Male","Sunday;Tuesday;Wednesday;Thursday;Saturday","Afternoon","Fried potatoes with egg sauce, stew;Fried yam with egg sauce, stew;Jellof rice;Plain rice with stew, gbadun;Porridge beans, plain beans and stew with plantain;Semovita, poundo, eba with okra, egusi;Plain spaghetti and stew with boiled egg"
"2020/10/02 7:12:49 AM GMT+1","Lunch, Dinner","Male","Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday","Evening","Fried potatoes with egg sauce, stew;Fried rice;Jellof rice;Porridge beans, plain beans and stew with plantain;Semovita, poundo, eba with okra, egusi"
"2020/10/02 7:33:43 AM GMT+1","Lunch, Dinner","Female","Thursday","Evening","Jellof rice"
"2020/10/02 7:35:48 AM GMT+1","Lunch, Dinner","Female","Saturday","Afternoon","Jellof rice;Porridge beans, plain beans and stew with plantain;Semovita, poundo, eba with okra, egusi"
"2020/10/02 8:21:25 AM GMT+1","Breakfast, Lunch, Dinner.","Female","Thursday;Saturday","Afternoon","Fried yam with egg sauce, stew;Fried rice;Jellof rice;Plain rice with stew, gbadun;Semovita, poundo, eba with okra, egusi;Moi moi with pap, oat, custard"
"2020/10/02 8:43:09 AM GMT+1","Lunch, Dinner","Male","Saturday","Afternoon","Fried potatoes with egg sauce, stew"
"2020/10/02 8:47:19 AM GMT+1","Lunch, Dinner","Female","Saturday","Evening","Plain rice with stew, gbadun"
"2020/10/02 9:00:45 AM GMT+1","Breakfast, Lunch, Dinner.","Female","Monday;Friday;Saturday","Afternoon","Fried yam with egg sauce, stew;Fried rice;Jellof rice;Plain rice with stew, gbadun;Akara with pap, oat, custard;Moi moi with pap, oat, custard"
"2020/10/02 9:03:12 AM GMT+1","Lunch, Dinner","Female","Saturday","Evening","Fried potatoes with egg sauce, stew;Fried yam with egg sauce, stew;Fried rice;Jellof rice;Plain rice with stew, gbadun"
"2020/10/02 9:06:07 AM GMT+1","Lunch, Dinner","Male","Sunday;Wednesday;Friday","Afternoon","Porridge beans, plain beans and stew with plantain"
"2020/10/02 9:07:06 AM GMT+1","Lunch, Dinner","Male","Sunday;Monday;Tuesday;Wednesday;Thursday;Friday;Saturday","Evening","Plain rice with stew, gbadun;Semovita, poundo, eba with okra, egusi;Jellof spaghetti with boiled egg;Plain spaghetti and stew with boiled egg"
"2020/10/02 9:09:29 AM GMT+1","Lunch, Dinner","Male","Monday;Tuesday;Thursday;Saturday","Evening","Fried rice;Jellof rice;Plain rice with stew, gbadun;Semovita, poundo, eba with okra, egusi;Jellof spaghetti with boiled egg"
"2020/10/02 9:10:36 AM GMT+1","Lunch, Dinner","Male","Sunday;Tuesday;Thursday;Saturday","Afternoon","Moi moi with pap, oat, custard"
"2020/10/02 9:55:05 AM GMT+1","Lunch, Dinner","Female","Saturday","Evening","Semovita, poundo, eba with okra, egusi;Plain spaghetti and stew with boiled egg"
"2020/10/02 10:00:57 AM GMT+1","Lunch, Dinner","Female","Monday","Afternoon","Akara with pap, oat, custard"
"2020/10/02 1:06:34 PM GMT+1","Lunch, Dinner","Female","Monday;Tuesday;Thursday;Saturday","Evening","Jellof rice;Plain rice with stew, gbadun"
"2020/10/02 1:59:14 PM GMT+1","Breakfast, Lunch, Dinner.","Male","Tuesday;Thursday;Saturday","Evening","Jellof rice;Plain rice with stew, gbadun;Semovita, poundo, eba with okra, egusi;Plain spaghetti and stew with boiled egg;Akara with pap, oat, custard"
"2020/10/02 5:46:58 PM GMT+1","Breakfast, Lunch, Dinner.","Male","Monday;Thursday;Friday;Saturday","Afternoon","Fried potatoes with egg sauce, stew;Fried rice;Plain rice with stew, gbadun;Jellof spaghetti with boiled egg;Akara with pap, oat, custard"
"2020/10/02 6:02:29 PM GMT+1","Breakfast, Lunch, Dinner.","Male","Sunday;Tuesday;Friday;Saturday","Afternoon","Plain rice with stew, gbadun;Porridge beans, plain beans and stew with plantain;Akara with pap, oat, custard"
"2020/10/02 6:07:17 PM GMT+1","Lunch, Dinner","Male","Sunday;Monday;Wednesday;Friday;Saturday","Afternoon","Fried rice;Jellof rice;Porridge beans, plain beans and stew with plantain"
"2020/10/02 6:35:29 PM GMT+1","Lunch, Dinner","Female","Monday;Thursday;Friday;Saturday","Evening","Plain spaghetti and stew with boiled egg"
"2020/10/02 7:53:50 PM GMT+1","Breakfast, Dinner.","Female","Saturday","Evening","Fried yam with egg sauce, stew"
"2020/10/02 8:28:19 PM GMT+1","Lunch, Dinner","Female","Friday;Saturday","Afternoon","Fried potatoes with egg sauce, stew"
"2020/10/02 8:28:19 PM GMT+1","Lunch, Dinner","Male","Monday;Wednesday;Saturday","Evening","Fried potatoes with egg sauce, stew;Fried yam with egg sauce, stew;Jellof rice;Jellof spaghetti with boiled egg"
